Run Name,Table,Model,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN
BoW_20230220-1326,see_counselling,BoW,0.705335677,0.696721315,0.764259279,0.495530903,0.681751132,0.389216512,0.711691439,0.389216512,0.892453457,1386.0,5369.0,2175.0,647.0
BoW_20230220-1335,see_counselling,BoW,0.705335677,0.696721315,0.764259279,0.495530903,0.681751132,0.389216512,0.711691439,0.389216512,0.892453457,1386.0,5369.0,2175.0,647.0
BoW_20230220-1345,see_counselling,BoW,0.705335677,0.696721315,0.764259279,0.495530903,0.681751132,0.389216512,0.711691439,0.389216512,0.892453457,1386.0,5369.0,2175.0,647.0
BoW_20230220-1355,see_counselling,BoW,0.705335677,0.696721315,0.764259279,0.495530903,0.681751132,0.389216512,0.711691439,0.389216512,0.892453457,1386.0,5369.0,2175.0,647.0
BoW_20230220-1607,see_counselling,BoW,0.7053356766700745,0.6967213153839111,0.7642592787742615,0.495530903339386,0.6817511320114136,0.3892165124416351,0.7116914391517639,0.3892165122156698,0.8924534574468085,1386.0,5369.0,2175.0,647.0
BoW_20230220-1617,see_counselling,BoW,0.7053356766700745,0.6967213153839111,0.7642592787742615,0.495530903339386,0.6817511320114136,0.3892165124416351,0.7116914391517639,0.3892165122156698,0.8924534574468085,1386.0,5369.0,2175.0,647.0
BoW_20230220-1626,see_counselling,BoW,0.7053356766700745,0.6967213153839111,0.7642592787742615,0.495530903339386,0.6817511320114136,0.3892165124416351,0.7116914391517639,0.3892165122156698,0.8924534574468085,1386.0,5369.0,2175.0,647.0
BoW_20230220-1636,see_counselling,BoW,0.7053356766700745,0.6967213153839111,0.7642592787742615,0.495530903339386,0.6817511320114136,0.3892165124416351,0.7116914391517639,0.3892165122156698,0.8924534574468085,1386.0,5369.0,2175.0,647.0
BoW_20230220-1645,see_counselling,BoW,0.7053356766700745,0.6967213153839111,0.7642592787742615,0.495530903339386,0.6817511320114136,0.3892165124416351,0.7116914391517639,0.3892165122156698,0.8924534574468085,1386.0,5369.0,2175.0,647.0
CNN_20230225-1103,see_counselling,CNN,0.7214158773422241,0.7114197015762329,0.7815929651260376,0.5140255093574524,0.6940482258796692,0.4081573486328125,0.7287911176681519,0.4081573618744576,0.8983660130718955,1411.0,5498.0,2046.0,622.0
CNN_20230225-1140,see_counselling,CNN,0.76088547706604,0.7008991837501526,0.7837706208229065,0.5144190192222595,0.5966551899909973,0.452105849981308,0.8051431775093079,0.4521058516585911,0.8810559907165652,1213.0,6074.0,1470.0,820.0
CNN_20230225-1231,see_counselling,CNN,0.7336326837539673,0.7103706002235413,0.7828739285469055,0.5163981318473816,0.6699458956718445,0.4201110303401947,0.750795304775238,0.4201110425663171,0.8940805051302289,1362.0,5664.0,1880.0,671.0
CNN_20230225-1309,see_counselling,CNN,0.7579618096351624,0.708206295967102,0.7859286069869995,0.5216673612594604,0.6217412948608398,0.4493423402309418,0.7946712374687195,0.4493423391397085,0.8863098758131284,1264.0,5995.0,1549.0,769.0
CNN_20230225-1351,see_counselling,CNN,0.6746371388435364,0.7131683826446533,0.7837377786636353,0.5044528841972351,0.7801278829574585,0.3727379441261291,0.6462088823318481,0.372737955346651,0.9160090191657272,1586.0,4875.0,2669.0,447.0
LSTM_20230225-1427,see_counselling,LSTM,0.705440104007721,0.7082860469818115,0.7813214659690857,0.5069043636322021,0.7132316827774048,0.3931670188903808,0.7033404111862183,0.3931670281995661,0.9010018678892852,1450.0,5306.0,2238.0,583.0
LSTM_20230225-1749,see_counselling,LSTM,0.7253837585449219,0.709985613822937,0.7788944840431213,0.5136834383010864,0.6832267642021179,0.4115555584430694,0.7367444038391113,0.4115555555555555,0.8961625282167043,1389.0,5558.0,1986.0,644.0
LSTM_20230225-2140,see_counselling,LSTM,0.7396888136863708,0.7124180793762207,0.7858514785766602,0.5203002095222473,0.6650270819664001,0.4273072183132171,0.759809136390686,0.427307206068268,0.8938094495555902,1352.0,5732.0,1812.0,681.0
LSTM_20230226-0112,see_counselling,LSTM,0.7264279127120972,0.7101093530654907,0.78219074010849,0.5140949487686157,0.6817511320114136,0.4126228094100952,0.7384676337242126,0.4126228044060732,0.8959472499195883,1386.0,5571.0,1973.0,647.0
LSTM_20230226-0443,see_counselling,LSTM,0.7122272253036499,0.7055872082710266,0.7795517444610596,0.5059160590171814,0.6940482258796692,0.3980253934860229,0.717126190662384,0.3980253878702398,0.8968832891246684,1411.0,5410.0,2134.0,622.0
BERT_20230226-0757,see_counselling,BERT,0.6601232290267944,0.6480802297592163,0.7060560584068298,0.4392764568328857,0.6271519660949707,0.3380169570446014,0.6690084934234619,0.3380169570446014,0.8694229125976562,1275.0,5047.0,2497.0,758.0
BERT_20230226-1951,see_counselling,BERT,0.7075284719467163,0.6400815844535828,0.7119442820549011,0.4314999282360077,0.5228726267814636,0.3673116862773895,0.7572905421257019,0.3673116862773895,0.8548555970191956,1063.0,5713.0,1831.0,970.0
BERT_20230227-1328,see_counselling,BERT,0.6265009641647339,0.6549460291862488,0.7167359590530396,0.4446514248847961,0.7043777704238892,0.3248638808727264,0.6055142879486084,0.3248638808727264,0.8837299346923828,1432.0,4568.0,2976.0,601.0
BERT_20230228-0052,see_counselling,BERT,0.7320663928985596,0.5264783501625061,0.5517213344573975,0.211432084441185,0.1692080646753311,0.2817362844944,0.8837486505508423,0.2817362844944,0.7978698015213013,344.0,6667.0,877.0,1689.0
BERT_20230228-0209,see_counselling,BERT,0.6943719387054443,0.525549054145813,0.5557492971420288,0.2438646256923675,0.2321692109107971,0.2568008601665497,0.8189289569854736,0.2568008601665497,0.7982943654060364,472.0,6178.0,1366.0,1561.0
