Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,LSTM_20221029-1532,20221029-1613,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0,0.1,,False,100.0,5e-05,5.0,undersampling,0.7923301458358765,0.7865704298019409,0.8661487102508545,0.8189284205436707,0.8306227922439575,0.8075588345527649,0.7425180673599243,0.8075588121866564,0.7711682743837085,2094.0,1439.0,499.0,427.0,LSTM & 0.792 & 0.787 & 0.866 & 0.819 & 0.808 & 0.831 \\,
,LSTM_20221029-1613,20221029-1624,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0,0.1,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.63409024477005,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.634 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-1624,20221029-1703,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.2,,False,100.0,0.0001,5.0,undersampling,0.8048889636993408,0.8006603717803955,0.8844035863876343,0.8284023404121399,0.8330028057098389,0.8238524794578552,0.7683178782463074,0.8238524911730091,0.7795811518324607,2100.0,1489.0,449.0,421.0,LSTM & 0.805 & 0.801 & 0.884 & 0.828 & 0.824 & 0.833 \\,
,LSTM_20221029-1703,20221029-1757,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.2,,False,100.0,5e-05,5.0,undersampling,0.8004036545753479,0.794366717338562,0.8772691488265991,0.8264431357383728,0.8405394554138184,0.8128116726875305,0.7481940388679504,0.8128116609129268,0.7829373650107991,2119.0,1450.0,488.0,402.0,LSTM & 0.8 & 0.794 & 0.877 & 0.826 & 0.813 & 0.841 \\,
,LSTM_20221029-1757,20221029-1807,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.2,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.5845532417297363,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.585 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-1807,20221029-1848,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.2,,False,100.0,0.0001,5.0,undersampling,0.8057860732078552,0.7954872846603394,0.8772510290145874,0.8357982635498047,0.8742562532424927,0.800581157207489,0.7167182564735413,0.8005811841627316,0.8141852286049238,2204.0,1389.0,549.0,317.0,LSTM & 0.806 & 0.795 & 0.877 & 0.836 & 0.801 & 0.874 \\,
,LSTM_20221029-1848,20221029-1950,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.2,,False,100.0,5e-05,5.0,undersampling,0.8055617809295654,0.7906351089477539,0.8793206214904785,0.8403021097183228,0.9047996997833252,0.7843878865242004,0.6764705777168274,0.7843878954607978,0.8452611218568665,2281.0,1311.0,627.0,240.0,LSTM & 0.806 & 0.791 & 0.879 & 0.84 & 0.784 & 0.905 \\,
,LSTM_20221029-1951,20221029-2002,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.2,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.5895633697509766,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.59 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-2002,20221029-2035,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.2,,False,100.0,0.0001,5.0,undersampling,0.8028705716133118,0.79451984167099,0.878127932548523,0.8311887979507446,0.8583895564079285,0.8056589961051941,0.7306501269340515,0.8056589724497394,0.7986463620981388,2164.0,1416.0,522.0,357.0,LSTM & 0.803 & 0.795 & 0.878 & 0.831 & 0.806 & 0.858 \\,
,LSTM_20221029-2036,20221029-2118,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.2,,False,100.0,5e-05,5.0,undersampling,0.7945727705955505,0.7833033204078674,0.8692223429679871,0.8271698355674744,0.86949622631073,0.7887729406356812,0.6971104145050049,0.7887729399064412,0.8041666666666667,2192.0,1351.0,587.0,329.0,LSTM & 0.795 & 0.783 & 0.869 & 0.827 & 0.789 & 0.869 \\,
,LSTM_20221029-2118,20221029-2129,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.2,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.6014014482498169,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.601 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-2129,20221029-2206,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0,0.2,,False,100.0,0.0001,5.0,undersampling,0.8006279468536377,0.79653400182724,0.8766200542449951,0.8244124054908752,0.827846109867096,0.8210070729255676,0.765221893787384,0.8210070810385524,0.773604590505999,2087.0,1483.0,455.0,434.0,LSTM & 0.801 & 0.797 & 0.877 & 0.824 & 0.821 & 0.828 \\,
